badDirt,timeAlive
false,75
false,516
false,69
false,548
false,419
true,910
false,736
false,1206
false,445
false,1292
false,859
false,2137
false,2083
false,1711
false,1078
false,1468
false,27
false,1352
false,1495
false,399
false,13
false,566
false,2325
false,1082
false,1594
true,271
false,986
false,1714
false,1480
false,146
false,1407
false,3523
false,907
false,3065
false,1721
false,1037
false,2226
false,4134
false,1190
false,35
false,2165
false,1862
true,4155
false,2209
false,3993
false,654
false,1240
false,2266
false,1399
false,2721
false,3131
false,2993
false,2181
false,2518
false,3202
false,2995
false,755
false,3330
false,961
false,3364
false,273
false,2826
false,2816
false,633
false,2440
false,490
true,3066
false,3058
false,1505
false,476
false,1058
false,1920
false,1302
false,2235
false,1428
false,2645
false,1408
false,1078
false,900
false,2534
false,2406
true,255
false,2525
false,2503
false,416
false,695
false,120
true,4279
false,1222
false,4356
false,1994
false,2020
false,1427
false,3118
false,1386
false,668
true,3036
false,2303
false,3602
false,2969
true,4472
false,3574
false,1329
false,3161
false,1926
false,2403
true,2618
false,1731
false,2003
false,2284
false,2229
false,414
false,3787
false,3311
false,495
false,596
true,2996
false,1175
false,1442
false,1676
false,3170
false,2694
false,2117
false,907
false,1882
false,1997
false,517
false,3070
false,1018
false,789
false,142
false,2918
false,3504
false,3467
false,2191
false,2239
false,199
false,3583
false,2802
false,2653
true,3202
false,1433
false,2485
false,1126
false,487
false,2520
false,1957
false,1360
false,1286
false,2277
false,577
false,1333
false,621
false,2430
false,433
false,2701
false,769
false,644
false,2822
false,2750
false,1768
false,3101
false,1787
false,1828
true,2251
false,1693
false,2060
false,746
false,1824
false,1962
false,3357
false,716
false,3804
false,866
false,2927
false,2422
false,2246
false,1021
false,1952
false,1241
false,2833
false,324
false,1896
false,1216
false,2688
false,2623
true,1687
false,3313
false,1800
false,2617
false,2004
false,1784
false,1684
false,504
false,2969
false,2484
false,1147
false,2587
false,1615
false,829
false,1392
false,1893
false,600
false,13
false,572
false,1468
false,2943
false,392
false,1090
false,2456
false,847
false,2555
false,596
true,1180
false,959
false,3367
false,1617
false,329
false,1714
false,1684
false,1258
false,1547
false,2819
false,755
false,2465
false,2383
false,733
false,2606
false,1952
false,1691
false,2052
false,2556
false,466
false,4373
false,1410
false,2084
false,1018
false,1118
false,1613
false,957
false,1057
false,1859
false,3356
false,407
false,2245
false,4447
false,1220
false,1783
false,3150
false,3580
true,3322
false,628
false,2116
false,2338
false,1904
false,3609
false,2625
false,995
false,487
false,3231
false,2574
false,1982
false,1822
false,2870
false,4279
false,3945
false,2415
false,3238
false,979
false,2245
false,2018
false,1924
false,649
false,3368
false,797
false,3361
false,3296
false,2943
false,1780
false,957
false,1964
false,2721
false,1620
false,2823
false,2876
false,1855
false,3269
false,693
false,1541
false,3061
