badDirt,timeAlive
false,41
false,528
true,421
false,118
false,481
false,992
false,1443
false,246
false,902
false,1441
false,680
false,779
false,1645
true,299
false,701
false,1675
false,934
false,146
false,973
false,1005
false,2117
false,1332
false,336
false,269
false,1208
false,1658
false,1137
false,2045
false,2063
false,2673
false,417
false,857
false,255
false,1468
false,1611
true,1442
false,2755
false,2167
false,649
false,2401
false,2745
false,489
false,2035
false,1255
false,1420
false,2100
false,1279
false,3139
false,2190
false,268
false,835
false,939
false,2337
false,1325
false,1466
false,1104
false,3818
false,3037
false,330
false,3902
false,2531
true,1694
false,745
false,1310
false,3263
false,2707
false,56
false,820
false,2187
true,2031
false,4153
false,669
false,387
false,2809
false,1110
true,2571
true,1862
false,1376
false,940
false,2551
false,2760
false,1220
false,2622
false,2956
false,1866
false,2036
false,1587
false,3860
false,447
true,2930
false,3513
false,3503
false,1969
false,2824
false,2029
false,1700
false,3191
false,2219
false,2277
true,1580
false,2490
true,2089
false,1719
false,2063
false,3145
false,2108
false,669
false,1980
false,3187
false,1547
false,566
false,3695
false,3567
false,3164
false,2957
true,1200
false,2457
false,3980
false,1166
false,4225
false,477
false,2632
false,1736
false,2457
false,2815
false,4220
true,310
false,781
false,2177
false,2351
false,3443
false,3612
false,1556
false,621
false,1275
false,2243
false,1071
true,3195
false,4230
false,1763
false,211
false,2255
false,3103
false,2513
false,2508
false,3226
false,3583
false,995
false,1431
false,4022
false,657
false,4254
false,608
false,3809
false,4010
false,3815
false,3204
false,688
false,609
false,2783
false,2488
false,2132
false,1789
false,2636
false,3574
false,2085
false,396
false,531
false,2038
false,1186
false,235
true,3112
false,3254
false,2849
false,1763
false,4820
false,1426
false,1644
false,2488
false,291
false,3015
false,3278
false,4429
false,1891
false,3398
false,535
false,1694
false,1215
false,3435
false,2731
false,4694
false,1673
false,1062
false,4379
false,1193
false,2633
false,1723
false,592
false,3960
false,4395
false,3746
false,4565
false,3800
false,5171
false,5208
false,206
false,3011
false,2730
false,2974
false,4761
false,4289
false,4317
false,5322
false,2688
false,4541
false,3121
false,1915
false,4442
false,2019
false,3333
false,2335
false,1994
false,2956
false,3720
false,236
false,2168
false,783
false,1502
false,1735
false,4671
false,2651
false,4209
false,2231
false,2781
false,1001
false,4908
false,982
false,3534
false,3617
false,2227
false,3946
false,836
false,2234
false,828
false,4698
false,5130
false,2819
false,502
false,1637
false,871
false,4710
false,5381
false,4314
false,3610
false,2001
false,5535
false,193
true,388
false,4259
false,4766
false,3820
false,1052
false,3473
false,2167
false,756
false,147
false,2843
false,5513
false,4017
false,1185
false,3483
false,1845
false,2262
false,4711
false,2254
false,691
false,1586
false,4452
false,2533
false,4388
false,975
false,1692
true,1208
true,52
false,3936
false,5724
false,1037
false,4120
false,2363
false,2519
false,2564
false,143
false,668
false,1674
false,1957
false,5522
false,288
false,3464
false,4205
false,2176
false,1107
false,541
false,1496
false,4457
false,806
true,2418
false,2652
false,5818
false,3974
false,547
false,94
false,5293
false,3747
false,3982
false,1235
false,1397
false,1182
false,1576
false,1640
false,5750
false,3709
false,3540
false,3397
false,5434
false,2096
false,5611
false,3833
false,614
false,5708
false,1376
true,341
false,5045
false,2391
false,1314
false,2849
false,1294
false,80
false,2480
false,2499
false,3137
false,243
false,3987
false,3556
false,2315
false,2930
false,182
false,4247
false,21
false,1020
false,759
false,3191
false,2175
false,3298
false,5568
false,5298
true,297
false,3492
false,3919
false,1145
false,3143
false,248
false,586
false,380
false,3419
false,383
false,5589
false,739
false,86
false,3900
false,3719
false,4683
false,3293
false,4201
false,1541
false,281
false,2293
false,3193
false,229
true,983
false,1921
false,1914
false,692
false,438
false,4382
false,1563
false,3358
false,3835
false,2133
false,5314
false,2732
false,3997
false,4577
false,2423
false,936
false,3975
false,278
false,5058
false,5175
true,1614
false,3550
false,611
false,531
false,3156
false,89
false,3332
false,2128
false,2344
false,6237
false,4389
false,1690
false,5797
true,82
false,4094
false,2211
false,52
false,2807
false,404
false,117
false,4851
false,1149
false,2830
false,1389
false,2560
false,4319
false,6445
false,1976
false,2494
false,955
false,4793
false,28
false,3587
false,1499
false,6087
false,4156
false,444
false,892
false,331
false,2909
false,1859
false,3181
false,1159
false,1523
false,4483
true,931
false,1297
false,1478
